Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Tract, %",Internet Access Score,"Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Tract, %",Spend Growth Score,"Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Tract, %"
,13121001800,Fulton County,Georgia,2020,47.0,49,45,58.0,52.0,65,37.0,-2.1,67.0,73.2,51,4.3,93.0,84.4,27.0,76.9,90.0,75.0,43.0,38,48.0,45.0,3.0,25.0,,45.0,4.2,3.0,1.0,82.0,88.0,59.0,22.3,40.0,56.0,23.0,78.0,23.2,34.0,,10.0,64.8,9.0,51.2,1.0,0.0,73.0,96.6
,13121001800,Fulton County,Georgia,2021,50.0,55,44,44.0,26.0,62,21.0,-18.9,30.0,8.6,51,4.3,92.0,85.2,15.0,77.3,92.0,77.0,54.0,67,42.0,88.0,83.7,73.0,,39.0,-3.0,13.0,2.1,52.0,61.0,62.0,23.0,50.0,72.0,27.0,80.0,28.1,65.0,,8.0,64.1,25.0,46.1,,,48.0,94.8
,13121001800,Fulton County,Georgia,2022,50.0,56,45,49.0,36.0,62,23.0,-31.9,48.0,40.7,51,4.3,81.0,80.9,21.0,82.7,93.0,78.1,50.0,54,47.0,26.0,-35.1,61.0,,76.0,57.3,27.0,3.2,50.0,60.0,65.0,24.1,52.0,77.0,26.0,85.0,37.2,69.0,,8.0,64.2,6.0,53.5,,,64.0,96.5
,13121001800,Fulton County,Georgia,2023,44.0,48,40,41.0,26.0,56,24.0,-44.8,28.0,26.3,51,4.3,68.0,76.8,18.0,83.4,88.0,74.9,42.0,46,38.0,53.0,26.6,63.0,,23.0,-51.3,1.0,0.6,50.0,60.0,64.0,23.7,48.0,71.0,26.0,79.0,32.4,63.0,,8.0,65.9,7.0,52.9,,,63.0,96.3
,13121001800,Fulton County,Georgia,2024,42.0,48,36,41.0,26.0,56,24.0,-44.8,28.0,26.3,51,4.3,68.0,76.8,18.0,83.4,88.0,74.9,35.0,45,25.0,30.0,-14.6,81.0,,23.0,-51.3,2.0,0.7,50.0,60.0,24.0,0.7,49.0,72.0,26.0,79.0,32.4,65.0,,8.0,65.9,7.0,52.9,,,63.0,96.3
,13089021102,DeKalb County,Georgia,2020,66.0,70,61,74.0,88.0,60,83.0,15.1,92.0,87.4,25,1.7,47.0,72.0,91.0,95.1,79.0,68.3,62.0,46,79.0,54.0,2.5,38.0,,47.0,-4.2,45.0,3.2,97.0,98.0,94.0,34.5,60.0,76.0,43.0,79.0,17.9,72.0,,39.0,83.9,4.0,54.6,44.0,23.2,84.0,97.6
,13089021102,DeKalb County,Georgia,2021,60.0,56,64,54.0,48.0,60,55.0,0.3,40.0,-16.1,25,1.7,61.0,76.0,89.0,96.7,64.0,61.3,72.0,61,83.0,84.0,16.1,32.0,,66.0,7.7,65.0,6.6,91.0,94.0,94.0,34.7,54.0,60.0,49.0,60.0,11.8,60.0,,43.0,86.8,27.0,45.6,,,78.0,97.7
,13089021102,DeKalb County,Georgia,2022,55.0,49,61,47.0,34.0,60,29.0,-17.5,38.0,-21.5,25,1.7,72.0,78.5,82.0,96.1,62.0,61.1,71.0,70,72.0,92.0,27.3,57.0,,62.0,14.3,35.0,3.8,88.0,91.0,94.0,34.7,47.0,44.0,50.0,40.0,1.5,49.0,,49.0,88.5,26.0,45.9,47.0,26.0,77.0,97.7
,13089021102,DeKalb County,Georgia,2023,49.0,38,60,45.0,32.0,58,29.0,-35.8,35.0,-25.9,25,1.7,75.0,78.6,81.0,96.5,52.0,57.3,58.0,41,76.0,37.0,-14.4,50.0,,37.0,-50.1,44.0,3.5,88.0,91.0,95.0,35.3,42.0,40.0,45.0,37.0,-0.6,43.0,,50.0,88.8,9.0,51.7,57.0,31.0,64.0,96.4
,13089021102,DeKalb County,Georgia,2024,50.0,39,60,45.0,32.0,58,29.0,-35.8,35.0,-25.9,25,1.7,75.0,78.6,81.0,96.5,52.0,57.3,62.0,46,77.0,52.0,-9.5,48.0,,37.0,-50.1,53.0,3.9,88.0,91.0,91.0,3.5,42.0,39.0,45.0,37.0,-0.6,41.0,,50.0,88.8,9.0,51.7,57.0,31.0,64.0,96.4
,13121004900,Fulton County,Georgia,2020,54.0,47,61,62.0,49.0,76,17.0,-5.7,81.0,132.3,83,12.8,75.0,78.6,75.0,91.3,71.0,64.6,52.0,39,64.0,20.0,-42.3,28.0,,68.0,18.8,43.0,3.1,94.0,96.0,54.0,21.5,49.0,54.0,44.0,86.0,41.7,22.0,,30.0,79.8,20.0,47.2,96.0,57.9,28.0,91.1
,13121004900,Fulton County,Georgia,2021,54.0,52,55,61.0,54.0,68,40.0,-0.4,69.0,62.1,83,12.8,42.0,71.2,76.0,94.2,70.0,64.1,57.0,51,63.0,84.0,40.2,31.0,,37.0,-6.7,43.0,4.4,99.0,99.0,48.0,20.2,42.0,50.0,34.0,82.0,31.7,17.0,,26.0,79.9,15.0,49.0,55.0,29.7,38.0,93.5
,13121004900,Fulton County,Georgia,2022,57.0,57,57,64.0,62.0,65,60.0,6.9,64.0,56.4,83,12.8,31.0,67.6,77.0,95.2,70.0,64.3,60.0,50,70.0,35.0,-24.3,41.0,,74.0,45.5,57.0,5.8,99.0,99.0,53.0,21.6,48.0,60.0,35.0,68.0,21.6,51.0,,25.0,79.7,10.0,50.8,56.0,30.3,48.0,94.7
